temperature,humidity,soil_moisture,rain,season_encoded,variety
25.2,72.3,84.4,1,1,Keeri Samba
29.3,86.0,74.5,0,1,Nadu_BG366
27.9,68.3,57.8,1,1,White Rice
25.6,87.2,68.4,1,1,White Rice
25.4,80.3,82.3,0,1,Nadu_BG360
31.5,69.0,30.3,0,1,Red Rice
30.3,75.1,40.8,0,1,Red Rice
33.1,77.6,54.8,0,1,Samba_BG352
30.9,75.0,42.3,1,1,Red Rice
24.8,71.9,31.3,1,1,Samba_BG300
30.4,72.4,38.1,1,1,Samba_BG300
27.6,76.6,27.8,0,1,Red Rice
26.7,70.4,50.3,0,1,White Rice
32.6,75.9,56.6,1,1,White Rice
28.1,81.2,26.6,1,1,Red Rice
27.9,82.9,26.8,1,1,Red Rice
31.8,60.7,34.5,1,1,Samba_BG300
32.6,71.3,51.9,1,1,Samba_BG352
27.9,86.1,40.2,1,1,Red Rice
27.3,84.7,46.7,1,1,Red Rice
24.2,92.6,67.1,0,1,Samba_BG352
28.8,76.9,51.2,1,1,White Rice
24.6,79.6,27.5,1,1,Red Rice
29.9,83.1,78.4,0,1,Nadu_BG360
31.3,84.8,62.6,0,1,White Rice
29.8,81.7,57.0,1,1,White Rice
25.5,84.4,66.8,1,1,Samba_BG352
27.7,85.0,76.0,0,1,Nadu_BG366
28.2,91.1,83.7,0,1,Keeri Samba
24.9,88.5,63.0,0,1,White Rice
29.8,73.3,46.2,1,1,Red Rice
25.6,66.5,33.6,1,1,Samba_BG300
22.2,77.2,52.7,1,1,Samba_BG352
28.2,93.8,84.8,1,1,Nadu_BG360
24.5,83.0,46.0,1,1,Red Rice
20.0,73.4,35.6,1,1,Samba_BG300
25.8,72.6,25.2,1,1,Red Rice
33.6,69.6,20.7,1,1,Red Rice
24.2,84.3,25.1,1,1,Red Rice
33.8,76.5,48.0,1,1,Red Rice
31.9,77.4,42.4,1,1,Red Rice
30.7,72.7,38.0,0,1,Red Rice
28.0,61.4,60.5,0,1,Samba_BG352
29.8,71.0,73.9,0,1,Nadu_BG360
32.1,79.0,22.6,1,1,Red Rice
32.3,75.0,33.6,1,1,Samba_BG300
30.4,73.0,53.5,0,1,White Rice
30.1,84.9,54.2,1,1,Samba_BG352
26.0,69.4,69.5,1,1,Samba_BG352
31.3,78.4,83.2,1,1,Keeri Samba
24.2,78.9,23.3,1,1,Red Rice
27.8,77.1,63.6,0,1,White Rice
29.2,84.5,73.7,1,1,Nadu_BG360
27.6,77.1,65.4,0,1,White Rice
22.6,75.4,68.9,1,1,White Rice
28.1,76.4,60.2,0,1,White Rice
28.8,83.1,59.6,0,1,Samba_BG352
27.0,79.6,57.8,0,1,Samba_BG352
27.8,81.8,71.5,1,1,Keeri Samba
27.5,65.7,54.3,0,1,Samba_BG352
31.1,64.4,35.9,0,1,Red Rice
28.9,76.3,61.4,1,1,Samba_BG352
29.4,70.1,85.0,0,1,Nadu_BG360
24.4,74.0,87.2,0,1,Nadu_BG360
27.3,83.2,48.6,1,1,Red Rice
28.9,82.4,58.2,1,1,White Rice
32.0,65.0,78.7,1,1,Keeri Samba
31.2,80.3,24.6,1,1,Red Rice
28.2,77.4,54.8,0,1,White Rice
32.2,73.1,62.8,1,1,White Rice
32.3,73.6,64.5,0,1,White Rice
30.0,67.8,54.6,0,1,Samba_BG352
26.5,72.4,86.1,0,1,Nadu_BG366
25.1,65.2,66.9,0,1,Samba_BG352
23.6,83.0,86.4,1,1,Nadu_BG360
26.4,89.6,76.1,1,1,Nadu_BG366
30.8,73.1,53.1,0,1,White Rice
29.7,81.7,81.9,1,1,Nadu_BG360
30.3,76.5,85.6,0,1,Nadu_BG360
28.2,89.1,77.5,0,1,Keeri Samba
28.9,70.9,80.5,1,1,Nadu_BG360
25.2,82.9,75.5,0,1,Nadu_BG360
28.5,86.9,54.1,1,1,White Rice
26.6,79.4,89.5,0,1,Keeri Samba
26.0,79.7,21.1,1,1,Red Rice
32.7,72.7,21.6,0,1,Red Rice
23.9,73.2,50.9,1,1,Samba_BG352
26.9,77.6,83.4,0,1,Keeri Samba
27.8,73.9,59.8,1,1,Samba_BG352
22.6,89.2,35.6,1,1,Samba_BG300
26.7,75.8,26.2,1,1,Red Rice
31.8,75.2,53.3,1,1,White Rice
30.6,79.2,27.1,1,1,Red Rice
31.7,64.7,53.2,1,1,Samba_BG352
28.6,67.8,37.8,1,1,Samba_BG300
30.4,68.0,59.8,1,1,White Rice
29.6,75.9,68.5,1,1,White Rice
26.3,74.5,71.7,0,1,Nadu_BG360
33.4,80.8,41.3,1,1,Red Rice
27.8,81.9,25.0,1,1,Red Rice
27.9,78.2,87.8,0,1,Nadu_BG360
29.6,66.9,80.2,0,1,Nadu_BG360
27.0,70.7,58.1,1,1,Samba_BG352
28.8,83.4,64.5,1,1,Samba_BG352
31.8,73.2,53.1,1,1,White Rice
28.7,93.3,68.6,1,0,Samba_BG300
29.5,63.5,46.7,1,1,Red Rice
32.1,60.7,87.6,1,1,Nadu_BG366
26.8,66.4,34.3,1,1,Samba_BG300
25.2,78.4,42.0,0,1,Red Rice
28.7,76.0,72.8,0,0,Samba_BG300
34.8,76.3,78.8,1,0,Samba_BG300
25.7,93.2,87.3,1,0,Samba_BG300
25.2,68.1,29.3,1,1,Red Rice
30.0,61.2,82.7,0,1,Nadu_BG366
29.3,67.3,55.4,0,1,White Rice
29.5,73.8,84.1,1,0,Samba_BG300
25.9,66.9,13.6,1,1,Red Rice
32.5,78.9,56.9,1,1,White Rice
27.8,70.4,23.2,0,0,Red Rice
32.7,67.0,10.4,1,0,Red Rice
32.1,87.7,58.5,1,1,Samba_BG352
34.1,89.8,46.0,0,0,Samba_BG300
28.1,71.4,68.4,1,0,Samba_BG300
30.6,73.4,87.7,1,0,Samba_BG300
30.6,87.0,49.5,1,0,Samba_BG300
26.1,75.4,26.1,1,0,Red Rice
28.1,77.8,82.6,0,0,Samba_BG300
30.4,67.1,85.4,1,0,Samba_BG300
26.6,92.5,74.6,1,1,Nadu_BG366
33.8,71.4,19.8,1,1,Red Rice
26.1,68.0,44.2,1,0,Samba_BG300
28.0,65.8,52.7,1,0,Samba_BG300
26.2,71.8,85.4,1,1,Keeri Samba
29.0,62.3,30.3,0,0,Samba_BG300
30.0,70.5,32.8,0,0,Samba_BG300
34.8,74.4,12.6,1,0,Red Rice
27.4,65.1,49.2,1,1,Red Rice
30.9,62.8,39.6,0,1,Red Rice
28.7,82.1,60.7,1,1,White Rice
33.4,71.2,24.9,0,1,Red Rice
28.3,67.7,66.9,1,1,White Rice
26.0,92.9,41.8,1,1,Red Rice
26.4,71.9,19.1,1,1,Red Rice
32.0,68.0,24.0,1,1,Red Rice
30.3,68.5,17.4,1,0,Red Rice
33.8,66.6,32.3,1,1,Samba_BG300
34.0,91.0,72.4,1,0,Samba_BG300
34.4,87.5,63.5,1,1,White Rice
34.4,94.1,32.7,1,1,Samba_BG300
31.9,82.8,27.9,1,0,Red Rice
29.9,66.3,39.3,1,0,Samba_BG300
31.6,79.9,17.5,1,0,Red Rice
27.5,80.6,88.3,1,1,Nadu_BG360
29.3,72.3,61.6,1,0,Samba_BG300
27.0,85.3,32.5,0,0,Samba_BG300
25.4,94.8,47.6,0,1,Red Rice
28.7,60.5,84.3,1,0,Samba_BG300
30.7,94.3,16.0,1,1,Red Rice
33.5,71.1,23.6,1,0,Red Rice
33.4,92.6,15.6,0,0,Red Rice
34.9,64.9,51.5,1,0,Samba_BG300
33.5,64.8,66.7,1,1,Samba_BG352
29.2,69.0,58.9,0,0,Samba_BG300
30.0,87.9,62.0,1,1,White Rice
33.9,71.8,40.0,0,0,Samba_BG300
31.7,71.5,22.4,1,1,Red Rice
30.9,61.1,13.0,1,1,Red Rice
30.4,71.4,76.2,0,1,Keeri Samba
29.6,89.5,25.6,1,0,Red Rice
31.4,85.4,88.1,1,1,Nadu_BG360
33.0,69.5,45.1,0,0,Samba_BG300
26.8,62.8,44.3,1,0,Samba_BG300
26.7,65.5,30.0,1,1,Samba_BG300
26.8,92.7,61.1,1,1,Samba_BG352
29.4,85.6,13.8,1,0,Red Rice
32.6,60.5,19.3,0,0,Red Rice
28.1,94.3,24.0,0,1,Red Rice
29.9,76.6,23.9,1,0,Red Rice
25.5,93.2,80.9,0,1,Nadu_BG366
34.3,77.5,53.2,1,1,White Rice
34.4,93.0,79.4,1,1,Nadu_BG360
30.7,64.5,74.9,1,1,Nadu_BG360
33.2,82.8,26.5,0,1,Red Rice
26.0,60.6,17.6,1,0,Red Rice
31.6,73.5,64.5,1,0,Samba_BG300
27.8,64.1,65.7,1,0,Samba_BG300
25.4,74.6,87.4,1,0,Samba_BG300
32.5,88.2,89.2,1,1,Keeri Samba
32.8,71.9,84.5,1,0,Samba_BG300
31.8,85.9,29.1,1,0,Red Rice
30.1,88.9,35.6,1,0,Samba_BG300
25.5,93.5,77.8,1,1,Nadu_BG366
31.8,76.9,49.4,0,0,Samba_BG300
27.9,71.5,63.8,1,0,Samba_BG300
32.8,64.0,84.5,1,1,Nadu_BG360
25.6,85.8,53.7,1,0,Samba_BG300
26.4,86.7,59.5,0,0,Samba_BG300
29.3,67.8,41.7,1,1,Red Rice
25.8,63.0,88.9,1,0,Samba_BG300
33.8,68.3,82.6,1,1,Nadu_BG360
32.1,76.9,40.2,1,1,Red Rice
34.1,63.9,49.4,0,1,Red Rice
30.7,85.9,71.4,1,0,Samba_BG300
32.5,80.4,87.0,1,0,Samba_BG300
25.8,78.5,44.9,1,0,Samba_BG300
34.7,61.5,81.3,1,0,Samba_BG300
34.2,68.9,65.6,0,0,Samba_BG300
31.3,84.4,46.4,1,1,Red Rice
28.8,85.8,83.2,1,1,Nadu_BG366
29.6,81.7,32.2,0,1,Red Rice
28.9,68.0,31.3,1,1,Samba_BG300
34.9,84.4,52.9,1,1,Samba_BG352
31.8,65.7,82.9,1,1,Nadu_BG360
32.3,81.5,43.5,1,1,Red Rice
30.5,65.8,42.9,1,1,Red Rice
34.9,65.3,57.5,1,1,Samba_BG352
33.4,89.3,47.5,1,0,Samba_BG300
25.1,62.6,65.3,1,0,Samba_BG300
35.0,79.4,71.5,1,1,Nadu_BG360
27.5,75.8,20.3,1,0,Red Rice
27.1,90.7,70.6,0,0,Samba_BG300
26.1,83.5,51.6,1,0,Samba_BG300
28.1,88.6,87.4,0,0,Samba_BG300
29.0,64.7,12.3,1,0,Red Rice
31.4,88.2,82.3,1,1,Nadu_BG366
31.1,82.3,54.4,0,1,White Rice
30.5,75.8,82.8,0,1,Nadu_BG360
32.0,87.9,46.7,1,0,Samba_BG300
27.6,76.1,88.4,1,0,Samba_BG300
27.1,80.3,37.3,1,0,Samba_BG300
26.3,65.3,21.1,1,1,Red Rice
32.0,74.4,79.9,1,1,Nadu_BG366
31.0,67.8,75.7,1,1,Keeri Samba
25.3,79.2,52.8,1,1,White Rice
26.3,71.6,35.7,0,0,Samba_BG300
31.3,62.9,79.9,1,0,Samba_BG300
25.0,90.4,16.8,1,1,Red Rice
27.1,73.0,48.8,1,0,Samba_BG300
30.3,85.2,15.0,0,0,Red Rice
32.1,91.3,50.9,1,0,Samba_BG300
33.7,72.4,41.8,0,0,Samba_BG300
28.8,60.7,35.8,0,1,Red Rice
30.4,68.2,37.4,1,1,Samba_BG300
32.9,77.4,17.0,1,1,Red Rice
30.6,80.5,55.2,1,0,Samba_BG300
28.6,82.6,55.7,1,0,Samba_BG300
28.3,92.7,10.6,0,1,Red Rice
27.5,65.6,24.9,0,0,Red Rice
25.6,89.5,14.1,0,0,Red Rice
34.8,63.9,41.8,1,1,Red Rice
25.1,94.1,49.3,1,1,Red Rice
34.3,79.5,55.7,0,1,Samba_BG352
26.9,71.3,44.0,1,0,Samba_BG300
30.3,84.8,71.4,0,1,Nadu_BG360
34.3,71.2,57.5,1,1,White Rice
30.5,79.2,26.1,1,1,Red Rice
27.5,83.9,70.8,1,1,Nadu_BG366
29.1,72.2,84.4,1,1,Nadu_BG366
26.2,85.6,85.1,0,0,Samba_BG300
34.3,85.3,13.8,1,0,Red Rice
33.0,67.1,23.1,0,0,Red Rice
27.4,82.2,82.6,1,1,Keeri Samba
31.8,75.8,67.1,1,0,Samba_BG300
28.0,86.2,50.2,0,0,Samba_BG300
28.9,78.6,15.3,0,0,Red Rice
26.2,92.9,60.2,1,1,White Rice
32.9,81.7,52.7,1,1,Samba_BG352
26.5,70.9,29.9,1,1,Red Rice
27.0,85.0,49.5,1,1,Red Rice
33.2,63.9,77.7,0,1,Nadu_BG360
33.0,65.2,28.3,1,1,Red Rice
25.1,80.9,55.2,1,0,Samba_BG300
28.5,66.4,82.7,1,1,Nadu_BG360
29.6,93.2,22.3,1,1,Red Rice
26.0,69.0,68.1,1,1,White Rice
34.2,87.7,11.8,1,0,Red Rice
30.8,81.2,43.9,1,1,Red Rice
33.4,91.9,19.8,0,1,Red Rice
33.4,64.4,83.7,1,0,Samba_BG300
27.3,81.3,40.3,1,1,Red Rice
33.0,60.2,36.7,1,0,Samba_BG300
33.6,92.3,47.3,1,0,Samba_BG300
29.5,67.9,46.2,0,1,Red Rice
30.8,65.8,12.7,1,0,Red Rice
30.8,82.1,11.0,1,0,Red Rice
34.8,76.1,54.6,1,0,Samba_BG300
35.0,77.6,57.6,0,0,Samba_BG300
29.3,88.0,38.0,1,0,Samba_BG300
25.4,76.5,55.2,0,1,Samba_BG352
29.5,78.4,45.3,1,1,Red Rice
32.7,63.6,36.7,0,0,Samba_BG300
28.7,69.5,61.5,1,0,Samba_BG300
34.8,89.4,79.4,1,0,Samba_BG300
27.2,68.1,63.8,0,1,Samba_BG352
33.0,66.2,62.2,0,1,Samba_BG352
27.4,85.3,78.5,1,1,Keeri Samba
26.4,74.2,35.9,0,1,Red Rice
25.9,67.3,12.1,0,1,Red Rice
31.4,84.6,82.8,1,0,Samba_BG300
27.6,73.3,57.2,0,0,Samba_BG300
28.5,87.1,39.0,1,0,Samba_BG300
34.5,86.7,21.2,1,1,Red Rice
34.9,76.5,24.6,1,0,Red Rice
27.7,79.0,60.7,0,1,White Rice
33.3,94.5,52.1,0,0,Samba_BG300
31.8,88.8,52.4,1,0,Samba_BG300
27.7,79.4,62.1,1,0,Samba_BG300
26.1,64.9,31.1,0,0,Samba_BG300
31.0,81.0,63.2,0,0,Samba_BG300
33.4,74.2,71.7,1,1,Nadu_BG360
32.4,62.9,58.3,0,0,Samba_BG300
33.4,75.3,83.2,1,1,Nadu_BG360
34.5,73.9,86.3,0,1,Nadu_BG360
27.7,78.9,23.0,1,0,Red Rice
30.0,80.9,36.7,1,0,Samba_BG300
28.4,72.3,43.0,1,1,Red Rice
29.3,68.6,75.5,1,1,Nadu_BG360
27.7,80.7,38.9,0,0,Samba_BG300
34.6,87.7,65.2,1,1,White Rice
34.6,86.5,61.1,1,0,Samba_BG300
31.9,89.7,30.0,1,0,Samba_BG300
31.9,61.8,63.6,0,1,Samba_BG352
35.0,79.5,47.9,1,0,Samba_BG300
32.0,70.4,84.0,1,0,Samba_BG300
33.0,86.1,14.4,1,0,Red Rice
33.3,61.3,57.7,0,1,Samba_BG352
25.8,84.4,37.2,1,1,Samba_BG300
30.7,88.1,53.1,1,0,Samba_BG300
31.3,91.0,59.3,0,0,Samba_BG300
29.6,94.7,10.0,0,1,Red Rice
34.4,88.0,89.8,1,1,Nadu_BG360
29.0,76.8,60.2,1,0,Samba_BG300
29.0,63.2,36.9,1,0,Samba_BG300
27.4,63.9,38.4,0,1,Red Rice
32.2,80.6,32.2,1,0,Samba_BG300
29.3,73.5,64.4,0,1,Samba_BG352
32.9,63.1,43.4,1,1,Red Rice
31.0,91.6,89.1,1,1,Nadu_BG360
29.0,89.3,28.4,1,1,Red Rice
27.3,66.2,27.6,0,0,Red Rice
33.3,88.0,60.4,0,0,Samba_BG300
34.3,94.8,23.9,1,1,Red Rice
29.9,94.9,81.8,1,0,Samba_BG300
27.2,78.8,57.4,1,1,Samba_BG352
33.8,69.3,20.4,1,0,Red Rice
33.5,61.2,36.3,1,0,Samba_BG300
25.9,74.3,39.8,0,0,Samba_BG300
25.5,78.6,87.0,0,1,Keeri Samba
34.9,62.2,80.6,1,0,Samba_BG300
33.2,72.2,64.2,1,0,Samba_BG300
32.3,78.2,79.5,0,0,Samba_BG300
33.7,84.8,77.0,1,1,Nadu_BG360
32.0,66.6,80.5,1,0,Samba_BG300
25.3,88.9,20.3,1,1,Red Rice
34.1,60.0,54.5,1,1,Samba_BG352
26.9,62.9,36.1,1,1,Samba_BG300
27.6,82.2,53.2,1,1,Samba_BG352
32.6,78.9,87.0,1,1,Nadu_BG360
34.3,63.6,85.0,1,1,Nadu_BG360
26.7,87.0,66.7,1,1,White Rice
25.7,89.8,89.2,1,1,Nadu_BG360
26.3,86.5,12.0,0,1,Red Rice
28.7,88.7,30.2,0,1,Red Rice
27.7,94.9,44.1,1,0,Samba_BG300
30.3,88.9,33.9,1,0,Samba_BG300
31.8,82.9,31.9,1,1,Samba_BG300
25.3,85.6,82.8,1,1,Nadu_BG366
32.6,75.5,35.0,1,1,Samba_BG300
27.3,67.5,12.5,1,1,Red Rice
30.6,76.5,53.5,0,0,Samba_BG300
33.7,87.2,71.7,1,1,Nadu_BG360
31.3,64.6,12.6,1,0,Red Rice
26.9,76.2,10.1,1,1,Red Rice
31.9,75.1,26.0,1,0,Red Rice
31.5,71.4,57.2,1,1,Samba_BG352
26.5,76.3,64.4,1,0,Samba_BG300
31.0,70.2,65.6,1,1,Samba_BG352
25.4,76.8,18.4,0,0,Red Rice
30.7,60.6,48.6,0,0,Samba_BG300
30.6,60.3,36.1,1,0,Samba_BG300
33.8,62.9,76.0,1,0,Samba_BG300
26.3,79.9,65.2,1,1,White Rice
26.7,63.7,60.9,1,1,Samba_BG352
34.4,61.8,53.3,1,1,White Rice
32.1,88.1,37.2,1,0,Samba_BG300
31.6,79.4,57.8,1,0,Samba_BG300
31.4,78.4,68.5,0,1,White Rice
27.5,65.6,79.7,0,0,Samba_BG300
29.7,86.0,79.7,1,1,Nadu_BG360
26.6,60.7,62.3,1,1,Samba_BG352
29.9,62.9,42.3,0,1,Red Rice
25.3,69.0,47.0,1,0,Samba_BG300
29.2,89.6,60.3,1,1,White Rice
30.0,79.0,51.1,1,1,Samba_BG352
29.0,81.2,57.8,1,0,Samba_BG300
27.8,80.7,83.0,0,0,Samba_BG300
29.7,89.3,28.9,1,1,Red Rice
34.1,66.3,29.0,1,0,Red Rice
29.1,62.4,45.0,0,0,Samba_BG300
29.5,78.0,38.7,1,1,Samba_BG300
31.5,70.9,41.9,1,0,Samba_BG300
28.3,87.1,20.5,1,0,Red Rice
27.3,90.9,45.4,1,0,Samba_BG300
28.4,89.0,44.5,0,0,Samba_BG300
34.5,68.8,38.7,1,0,Samba_BG300
32.4,83.2,48.0,1,1,Red Rice
29.5,90.2,54.7,1,1,White Rice
34.9,64.3,28.5,0,0,Red Rice
26.2,75.8,84.7,1,0,Samba_BG300
30.8,84.1,41.8,1,0,Samba_BG300
25.0,93.3,61.1,1,0,Samba_BG300
27.5,78.3,37.4,1,0,Samba_BG300
25.3,70.8,66.4,0,0,Samba_BG300
26.6,66.6,68.5,0,1,Samba_BG352
34.6,68.9,62.9,1,0,Samba_BG300
31.8,77.4,59.4,1,1,Samba_BG352
25.3,92.6,65.2,1,0,Samba_BG300
34.4,88.9,63.4,1,1,White Rice
26.6,81.2,35.4,1,0,Samba_BG300
33.7,87.4,55.4,1,1,White Rice
29.0,71.4,63.4,1,1,Samba_BG352
33.0,75.2,75.4,0,1,Nadu_BG360
25.1,71.4,39.3,1,0,Samba_BG300
28.8,79.2,57.7,1,0,Samba_BG300
27.3,62.6,58.3,1,1,White Rice
29.6,73.3,79.1,1,1,Keeri Samba
33.1,63.8,21.9,1,0,Red Rice
30.3,81.3,71.2,1,1,Nadu_BG360
30.2,88.8,44.5,1,0,Samba_BG300
34.0,68.5,84.2,0,0,Samba_BG300
29.8,66.8,23.3,1,0,Red Rice
27.8,70.8,74.2,1,1,Nadu_BG366
31.1,85.1,31.8,1,0,Samba_BG300
30.2,64.3,78.8,1,0,Samba_BG300
32.1,63.7,55.4,0,1,White Rice
29.8,88.2,54.0,0,1,Samba_BG352
34.5,81.1,75.5,1,0,Samba_BG300
32.9,82.6,24.0,1,1,Red Rice
34.0,72.4,28.9,1,1,Red Rice
32.3,89.8,63.7,1,0,Samba_BG300
31.2,75.8,56.9,0,0,Samba_BG300
33.7,76.6,52.8,0,0,Samba_BG300
31.4,81.2,53.7,0,1,Samba_BG352
30.9,77.4,89.0,0,0,Samba_BG300
31.8,75.5,45.7,1,0,Samba_BG300
34.9,64.5,18.3,1,1,Red Rice
34.1,87.0,31.2,1,1,Samba_BG300
26.9,71.3,28.1,1,1,Red Rice
29.4,89.1,63.6,0,1,Samba_BG352
27.7,80.7,64.4,0,1,Samba_BG352
26.9,61.8,40.3,1,0,Samba_BG300
32.3,76.3,14.8,1,1,Red Rice
34.6,82.2,70.4,0,1,Nadu_BG360
29.2,88.8,10.1,1,1,Red Rice
33.0,92.5,28.8,1,1,Red Rice
25.2,85.8,71.5,0,1,Keeri Samba
25.9,69.0,73.0,1,0,Samba_BG300
33.3,87.4,66.7,0,0,Samba_BG300
27.3,72.0,40.5,1,0,Samba_BG300
30.5,70.7,41.8,1,1,Red Rice
33.7,65.7,72.9,1,1,Nadu_BG360
28.9,77.5,41.8,1,0,Samba_BG300
28.8,90.7,79.4,1,1,Nadu_BG360
28.0,62.8,42.2,0,1,Red Rice
27.2,93.5,55.8,1,1,Samba_BG352
29.8,71.0,58.5,0,1,White Rice
33.3,71.1,86.2,1,0,Samba_BG300
28.7,62.4,12.1,0,1,Red Rice
25.8,87.2,19.8,1,0,Red Rice
30.1,75.4,18.5,1,0,Red Rice
25.2,81.1,39.2,1,0,Samba_BG300
32.8,76.1,14.7,1,0,Red Rice
31.2,70.4,44.4,0,0,Samba_BG300
26.2,70.6,18.1,1,1,Red Rice
31.2,82.2,28.3,0,1,Red Rice
28.1,81.8,52.2,1,0,Samba_BG300
32.9,74.2,62.3,1,0,Samba_BG300
29.1,89.0,68.7,1,1,Samba_BG352
29.2,76.8,11.5,0,1,Red Rice
31.8,66.6,59.5,1,1,White Rice
31.3,67.0,15.2,0,0,Red Rice
26.1,79.2,46.4,1,0,Samba_BG300
26.5,64.5,79.2,0,1,Nadu_BG360
28.8,73.8,46.8,1,0,Samba_BG300
26.3,63.6,62.7,1,1,White Rice
25.8,69.8,84.4,0,1,Keeri Samba
33.3,77.3,40.9,1,0,Samba_BG300
31.1,62.3,51.5,0,1,White Rice
30.1,83.8,13.3,0,0,Red Rice
31.6,88.1,18.4,0,1,Red Rice
32.4,72.4,33.7,1,0,Samba_BG300
34.4,87.4,38.4,1,0,Samba_BG300
31.6,86.8,31.2,0,1,Red Rice
30.1,91.5,72.6,0,0,Samba_BG300
28.8,67.2,19.7,1,1,Red Rice
25.7,93.6,48.3,1,1,Red Rice
33.0,70.2,88.4,1,0,Samba_BG300
34.2,78.2,59.3,0,1,Samba_BG352
26.1,80.9,17.6,1,1,Red Rice
29.4,81.5,85.4,0,0,Samba_BG300
31.8,77.4,11.0,1,1,Red Rice
